LineId,Content,EventId,EventTemplate,ParameterList
81,Process 3342 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['3342 (node)', '125206']"
82,Process 20771 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['20771 (node)', '125206']"
83,Process 25649 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['25649 (node)', '125206']"
84,Process 35572 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['35572 (node)', '125206']"
85,Process 44778 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['44778 (node)', '125206']"
86,Process 17260 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['17260 (node)', '125206']"
87,Process 29943 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['29943 (node)', '125206']"
88,Process 48830 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['48830 (node)', '125206']"
89,Process 5868 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['5868 (node)', '125206']"
90,Process 18778 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['18778 (node)', '125206']"
91,Process 51759 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['51759 (node)', '125206']"
92,Process 35813 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['35813 (node)', '125206']"
93,Process 23021 (hisat2-align-s) of user 31676 dumped core.#012#012Stack trace of thread 23703:#012#0  0x0000000000538c0d _ZN7tthread10fast_mutex8try_lockEv (/g100/prod/opt/applications/hisat2/2.2.1/gnu--10.2.0--gcc--8.3.1/bin/hisat2-align-s)#012#012Stack trace of thread 23674:#012#0  0x00007fa7221b3c8b n/a (n/a),edb6fbe2,Process 23021 (hisat2-align-s) of user 31676 dumped core.#012#012Stack trace of thread 23703 #012#0 0x0000000000538c0d _ZN7tthread10fast_mutex8try_lockEv (/g100/prod/opt/applications/hisat2/2.2.1/gnu--10.2.0--gcc--8.3.1/bin/hisat2-align-s)#012#012Stack trace of thread 23674 #012#0 0x00007fa7221b3c8b n/a (n/a),[]
94,Process 5087 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['5087 (node)', '125206']"
95,Process 22302 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['22302 (node)', '125206']"
96,Process 58764 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['58764 (node)', '125206']"
97,Process 1754 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['1754 (node)', '125206']"
98,Process 57914 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['57914 (node)', '125206']"
99,Process 709 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['709 (node)', '125206']"
100,Process 35157 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['35157 (node)', '125206']"
101,Process 44838 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['44838 (node)', '125206']"
102,Process 47272 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['47272 (node)', '125206']"
103,Process 8492 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['8492 (node)', '125206']"
104,Process 16448 (paraview) of user 125998 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['16448 (paraview)', '125998']"
105,Process 11775 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['11775 (node)', '125206']"
106,Process 49538 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['49538 (node)', '125206']"
107,Process 1136 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['1136 (node)', '125206']"
108,Process 35120 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['35120 (node)', '125206']"
109,Process 38998 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['38998 (node)', '125206']"
110,Process 32032 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['32032 (node)', '125206']"
111,Process 7377 (stlimb) of user 34460 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['7377 (stlimb)', '34460']"
112,Process 51028 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['51028 (node)', '125206']"
113,Process 23045 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['23045 (node)', '125206']"
114,Process 28125 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['28125 (node)', '125206']"
115,Process 37693 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['37693 (node)', '125206']"
116,Process 45023 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['45023 (node)', '125206']"
117,Process 53587 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['53587 (node)', '125206']"
118,Process 7580 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['7580 (node)', '125206']"
119,Process 13289 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['13289 (node)', '125206']"
120,Process 21804 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['21804 (node)', '125206']"
121,Process 28647 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['28647 (node)', '125206']"
122,Process 652 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['652 (node)', '125206']"
123,Process 27807 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['27807 (node)', '125206']"
124,Process 43195 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['43195 (node)', '125206']"
125,Process 16075 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['16075 (node)', '125206']"
126,Process 45362 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['45362 (node)', '125206']"
127,Process 11123 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['11123 (node)', '125206']"
128,Process 22679 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['22679 (node)', '125206']"
129,Process 21189 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['21189 (node)', '125206']"
130,Process 6033 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['6033 (node)', '125206']"
131,Process 24819 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['24819 (node)', '125206']"
132,Process 36576 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['36576 (node)', '125206']"
133,Process 6393 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['6393 (node)', '125206']"
134,Process 26398 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['26398 (node)', '125206']"
135,Process 8128 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['8128 (node)', '125206']"
136,Process 21743 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['21743 (node)', '125206']"
137,Process 35644 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['35644 (node)', '125206']"
138,Process 43345 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['43345 (node)', '125206']"
139,Process 47828 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['47828 (node)', '125206']"
140,Process 58859 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['58859 (node)', '125206']"
141,Process 10806 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['10806 (node)', '125206']"
142,Process 15615 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['15615 (node)', '125206']"
143,Process 45224 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['45224 (node)', '125206']"
144,Process 8691 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['8691 (node)', '125206']"
145,Process 14337 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['14337 (node)', '125206']"
146,Process 56230 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['56230 (node)', '125206']"
147,Process 5383 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['5383 (node)', '125206']"
148,Process 43959 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['43959 (node)', '125206']"
149,Process 53401 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['53401 (node)', '125206']"
150,Process 20844 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['20844 (node)', '125206']"
151,Process 34346 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['34346 (node)', '125206']"
152,Process 42756 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['42756 (node)', '125206']"
153,Process 46035 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['46035 (node)', '125206']"
154,Process 50045 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['50045 (node)', '125206']"
155,Process 15174 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['15174 (node)', '125206']"
156,Process 28534 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['28534 (node)', '125206']"
157,Process 33942 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['33942 (node)', '125206']"
158,Process 1229 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['1229 (node)', '125206']"
159,Process 19974 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['19974 (node)', '125206']"
160,Process 50162 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['50162 (node)', '125206']"
161,Process 382 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['382 (node)', '125206']"
162,Process 12616 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['12616 (node)', '125206']"
163,Process 24821 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['24821 (node)', '125206']"
164,Process 27523 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['27523 (node)', '125206']"
165,Process 30511 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['30511 (node)', '125206']"
166,Process 46702 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['46702 (node)', '125206']"
167,Process 5810 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['5810 (node)', '125206']"
